User,Rating,Date,Title,Comment
b_velkova,NEG,22 November 2019," What's more disgusting than actually being disgusting?
","A family of incompetents who struggle to fold a pizza carton miraculously transform to ingenious con artists and infiltrate themselves into a rich home where they successfully pretend to deliver services they have no clue of. The inhabitants of the house, on the other hand, are so incredibly stupid that they don't notice anything is wrong except for some wierd smell. But the impostors refuse to be judged by their smell! A bloodbath follows. The end. Standing ovation at Cannes, Palme d'Or, 8,6-star rating on IMDB...
It's not just a bad story, no, it's actually the perfect story based on the wrong belief that if you are poor, you cannot be expected to be good, and if you are rich, you are never good enough. Naturally, stereotypical characters follow and I couldn't make myself care about any of them. The only moments when the poor father showed some deepness were during his monologue about living with no plans and when he checked his smell after he heard the rich father complaining about it. Otherwise, all family members were interested only in filling their bellies with junk and had no reservations in causing any kind of harm to that end. Now, I know I'm supposed to dislike the rich family, but although I didn't like them either, I don't see what's so wrong about them. But the urge in society to favor the have-nots, no matter what their actual traits might be, is so strong that most of the reviewers take their side, while some even find them ""lovable"". And that I find even more disgusting than actually being disgusting.Post Oscars Addition:
Technically Parasite is a great movie, no, really. But the Oscars are not about that. Nor it is why anybody watches movies. People are interested in stories and these awards are all about politics. Now, the fact that this movie won most of the major Oscars is not that surprising. Could be because it is a foreign movie, could be because it is a marxist movie, could be both, as far as they are both valid arguments for leftist Hollywood. What concerns me is that it looks like the whole world is praising it happening and I'm sure that most fans don't care about the art of storytelling or directing. I think they believe what Bong Joon-ho ultimately shows us: that nobody is deserving, that we are all a bunch of idiots, clashing in a stupid game for money. But think about that: someone did build the house where we all want to live in, right? And that must be someone with some knowledge, skills, and integrity, otherwise the roof would have collapsed, wouldn't it? Does everybody really find it fair to deny all this?"
eoghanorourke-00011,POS,9 February 2020," Who the Parasite really was:
","We find the prosperous Park family to be the occupants of a slick, scando-sheek home in Seoul, Korea.
Mr Park is a fantastic provider for his family; in quintessential Korean fashion; as a tech entrepreneur. His wife and two children seem not to be in want of anymore than they already have. Despite this, his family are precariously vulnerable to social exploitation. His youngest son, who 'saw a ghost', is now subject to seizures. His daughter is a hopeless English language student who only sees her tutor classes as an opportunity to get a boyfriend. Finally his wife is highly impressionable and not fully competent to tackle the issues of her two children.
In addition to whatever jobs he has created at work, Mr Park employers a driver, housemaid and English tutor for himself, his daughter and his wife respectively. All of these seem to be happy in their employment.The Kims are another family of four but, for reasons we are not sure of, live in very basic accommodation in a poor part of the city. None of the family have solid jobs but it is not explained whether this is due to fecklessness or sheer bad luck despite best efforts. Lack of ability seems unlikely in their case as we see that they are very clever, albeit in a Machiavellian way. For example, they are happier to trick their way into getting paid for doing a bad job then actually folding the pizza boxes correctly.The English tutor at the Parks home recommends to the son of the Kims to temporarily replace him as tutor to the daughter of the Parks on the one condition that he leaves her alone for him to ask out when he returns.
This soon snowballs into all members of the Kim family shamelessly exploiting the Park family and their employees.
Their crimes are as follows:Forging an official university document and using it to gain employment.Exploiting and encouraging the mis-diagnosed mental illness of a young boy.Getting two people fired by destroying their reputations.Stealing food and alcohol.Murdering Mr Park because he didn't like the smell of a man who:Lived underground for 4 yearsHad a barbecue sword of meat sticking out of himWas deadThe Parks weren't perfect but nowhere did they claim to be. What they were was a respectable family who contributed to society in a positive manner.
The Kims were a clever but immoral family who continually made bad decisions at key moments, bringing their downfall on themselves.Unfortunately the parasite was so entrenched that once its downfall became the downfall of the host."
arisnaldonald,POS,27 June 2019," No wonder this gem got almost 10 mins standing ovation at Cannes.
","Oh man, what can I say...
How do I describe this jaw-dropping masterpiece in just few sentences?PARASITE (not mistaken with that outstanding anime 'Parasyte') is a socially conscious themed film that masterfully wrapped in comedy and thriller. It's an exciting and surprising ride from start to finish. The tone shifting in the second part of the film is done brilliantly. Eventhough there's so much stuff happening, Bong didn't lose control of his storytelling.Most of the scenes are sure very relatable for many in real life. On top of that, the ensemble cast (featuring my favorite Song Kang Ho) deliver a top notch Oscar-worthy performance.PARASITE is the worthy winner of this year Palme d'Or (and I also hope it will do well at the Oscar - Best Picture worthy? for sure!)It's the best film of the year, one of the best I've seen in this decade and for me it's arguably one of all time classic."
jimbikerider,POS,15 January 2020," Parasite and Schizophrenia
","An incredibly complex and multifaceted film that takes the audience to a place they have never been; inside the mind of a person afflicted with an incurable mental disease: Schizophrenia.
There is a legend/reality/ myth among mental health providers that one fifth of all cases of Schizophrenia is caused by a parasite from contaminated water.
Rarely documented as hard scientific fact; it actually fits in quite well with the Masterful presentation of Parasite.
Throughout the movie, one cannot escape the feeling of surrealism. That things don't quite seem possible to pull off and yet they do, with the help of a young man, IMHO that has has all the tell take signs of the disease: overrinflated worth, that he so desperstely desires and concocts by being selected by an acquaintance (of upper class) bypassing well trusted friends to venture into the slums of South Korea to give the young man his trust any honor across class lines to teach a wealthy girlfriend of his, despite the la c k of college training but perceived mastery in the English language through delusion,
Validated by a near perfect counterfeit degree from Princeton University, verifying his talents.
Similarly, his Mother as the rest of the family enslaved in Making a living through folding pizza boxes.
In his fantasy, each family member assumes the role of an important support system for a family of the elite class.( In reality, would never happen, and for his entire family to be get positions and be payed well through a scheme, satisfies his fantastical delusion of wealth and success for each family member. What could be better?
A symbolic rock taken ( but gifted in the mind of the actor) from the home of great distinction, must be placed in the exact location it was taken from to complete the fantasy
Clues were given throughout the movie, just enough to have you scratching your head on the possibility of such an incredible sequence of events that only really made sense if it was only playing out in his mind and not reality.
Paranoia slips in with the hint that the family they are scheming somehow knows their plans of taking over the house. For example his imaginary girlfriend not looking all the way under the bed where he was hiding in one seen, as he covered his eyes as to make the discovery go away because of the mental trauma associated with such humiliation and embarrassment.
The Upper class father's suggestion that the panties left in his car made no sense to him, yet he blamed his driver of poor conduct and infidelity anyway, as a most revered and trusted employee. And on it goes.
The young boy, who needed art therapy and special treatment was actually the son of the outcasts as a young boy, suffering a seizure in the first grade, common for Central Nervous System Parasitic infections.
The final revelation occurred at the end of the movie, completing his story with a letter to his father, that he will eventually come and save him.
However, earlier in the movie, their home and the entire town was destroyed by s freak flood, with contaminated water that displaced the entire community into a shelter.
Yet, the basement, the glass, and the condition of the living space, filtered through low lighting, was still intact, as was he, holding on to the completed Memoir of his personal experience that was as real to him as day and night to you and I, but only rang true through his tortured thoughts from a terrible disease: Schizophrenia.
The reader is encouraged to do a search of two words: parasite/ Schizophrenia, for more expanded descriptions of Schizophrenia and the legend of Parasitic causes."
mehulchavda-71067,POS,20 November 2019," Masterpiece
","This is true masterpiece
It's unpredictable i love this movie"
chasemykleby,POS,6 November 2019," Stinging topicality and gut-wrenching violence, it's explosive filmmaking on every level.
","""Parasite"" Review
(10/10)Snowpiercer director Bong Joon-ho has made a South Korean social satire that's also a genre-bending Palme d'Or-winning thriller of class struggle.
It's best to go into ""Parasite,"" the Cannes Film Festival grand-prize winner by Korean filmmaker Bong Joon-ho, not knowing too much about what you're about to see; the better to let its sly power sneak up on you. A dark satire of the class divide in contemporary South Korea, it's the story of two families of four. You'll watch knowing you're in the hands of a master filmmaker; only wondering when it's over how certain effects were achieved (a sequence near the end is a wonder), and losing yourself in these characters: particularly the gentle, wide-eyed anxiety of Mrs. Park and the way that Ki-woo's father, a man who cheerfully recites his string of failed businesses, remains determined to somehow find a way to make his family prosperous again.
The title metaphor becomes abundantly clear, is filled with vivid conversations that remind us how the Parks can't imagine (or don't care to imagine) how the other half lives. In one scene, they coolly discuss how poor people smell; like an old radish, says Mr. Park, or a rag that's been boiled. Ki-woo's family, however, seems to understand the rich all too well. What keeps you rapt in Parasite is the visual wit, every shot distills the movie's themes, and the richness of the characters and performances: Song's stricken expression as Kim Sr. is driven to murder by class resentment, Lee Jeong-eun's swift transformation from a calmly efficient housekeeper to a keening madwoman, and Choi's eloquent helplessness as his teenage protagonist watches this new world order gorily combust.
At the heart of Parasite is the most gnawing evolutionary fear of all, the inability to protect one's family. Parents work to save their children but lose them, as children lose their parents and wives their husbands. The bonds are firm but can withstand only so much pressure before they fracture. Who are the real parasites? The poor who attach themselves to the rich or the rich who suck the marrow of the poor?
The movie dissects the universal gap between the haves and the have-nots with shocking wit, stinging topicality and gut-wrenching violence. It's explosive filmmaking on every level."
Jared_Andrews,POS,8 December 2019," Best Movie of the Year
","It's difficult to review a movie like this without revealing any spoilers. For real, you definitely want to avoid spoilers on this one. So, I'll just leave you with this.Parasite is an absolute must-watch movie for anyone who loves movies. You owe it to your life to watch the work of a master like Bong Joon-Ho at his very best.See it with a friend. Discuss it afterwards. Then see it again. You'll be glad you did."
mikbanerjee1,POS,11 February 2020," The Social Commentary, It Showcases is Spectacular!
","If a film makes you think continuously even after the show ends, it must be a great one! And this one did just that. Packed with terrific direction, commendable performances from the whole cast, the sheer excellence in story writing and screenplay alongside some beautifully crafted cinematography this film is surely a treat in every category. It made me think, it made me curious about the nuances and the small details and hints it got all over it. I just couldn't express the feelings I got watching this. In one word it's truly a masterpiece!It Won 4 academy awards this year, and that's not a mean feat! Making history at the oscars by winning the best film award as a foreign film for the first time ever. It alone portrays how much this film has been applauded by the critics, the industry people and us ; the audience. This is one of those rare movies where majority of us have the same opinion about. It's entertaining, thrilling, with some dark twists and some disturbing scenes as well that will surely make an impact in your mind. I assure you ; this movie will be in your head for a very long period of time!It brilliantly exposes the capitalism system in society that has been presented as the 'Parasite' in here. The class difference, the economical boundaries set by the same people. It does symbolise with every aspect of the core issues that every major society in the world currently faces. One thing That I absolutely loved about it was the simplistic way it took to handle those sensitive subjects. And it can be applicable to any country though it's been made having Korean culture and society in mind ; this story, would be relatable to everyone. No matter the country Someone lives in.But you need to give your sincere focus and intellectuality while watching as it demands that. Every scene there has been crafted metaphorically. And those clever set ups can only be observed thoroughly if you are paying enough attention. Every character and their actions represent something. And you need to find that connection. And don't worry you will ; as the direction has been top notch throughout the entirety of the film. The character developments and The hidden metaphors are a treat to watch and experience.My own personal tip would be to avoid every promo, trailer and articles before watching it. Going with a blank slate will help you to digest every bit of it naturally.
Enough of the review now, I just wanna say, go and watch this film immediately. It's amazing and a surreal experience that could not be forgotten easily. Top of the table recommendation."
FahimShahriar45,POS,11 February 2020," Brilliant
","Great film-making with unique plot,starts slow but never boring,ending hits you like a hammer,not perfect but still great,well done Bong joon ho and Kang ho song,everything you guys touch turns into gold."
koushikdas508,POS,10 February 2020," PARASITE: Dark, Socially themed, Multi-dimensional, Highly thought-provoking and an incandescent cinematic roller coaster!
","Korean films are love. Yes, they are! 'Oldboy', ""The Man From Nowhere"", ""I Saw The Devil"", ""The Chase"" etc. etc. You name it. Korean directors are masters when it comes to deliver messages about social taboo or to execute a thriller on screen in possibly the most perfect way. 'Parasite' adds and in fact stretches the legacy of Korean films in even broader perspective.
Genres can be deceptive at times for some cinematic creations. And for films like 'Parasite', it spans over a wide sphere for sure.
Kudos to the director Bong Joon-ho for giving this masterpiece which is multi-layered and shows the economic inequality in the pro-capitalist society of South Korea in a way which consists so much mixed emotions, sense of humour, lots of adrenaline rush, few nail-biting moments as well; all revolve around primarily two economically contrasting families. It pin-points out the drawbacks of extreme capitalism and plutocracy in its usual neo-noir black comic style, which will eventually grows on the minds of the audience.
No wonder why this cinematic gem has got almost 10 mins of standing ovation at the Cannes and has won 4 Oscars at the 92nd Academy Awards including ""The Best Picture"" award as a Non-English film for the first time ever in the history of the Academy Awards.
It's rightfully the MOVIE OF THE YEAR OF 2019!"
